,ANIO,PROVINCIA,Hidroelectrica,Termica,Eolica,Fotovoltaica,Nuclear,Total
0,1990,ALMERIA,368,655000,0,0,0,655368
1,1990,CADIZ,15680,2967720,0,0,0,2983400
2,1990,CORDOBA,111160,665026,0,0,0,776186
3,1990,GRANADA,167188,18288,0,0,0,185476
4,1990,HUELVA,0,886830,0,0,0,886830
5,1990,JAEN,356876,42320,0,0,0,399196
6,1990,MALAGA,963558,237520,0,0,0,1201078
7,1990,SEVILLA,542840,18030,0,0,0,560870
8,1990,HUESCA,2137888,0,0,0,0,2137888
9,1990,TERUEL,50736,2453372,0,0,0,2504108
10,1990,ZARAGOZA,752054,270226,0,0,0,1022280
11,1990,ASTURIAS,1391864,5439550,0,0,0,6831414
12,1990,BALEARES,0,735290,0,0,0,735290
13,1990,LAS PALMAS,0,1373400,0,0,0,1373400
14,1990,S.C.TENERIFE,1600,948874,0,0,0,950474
15,1990,CANTABRIA,845952,206488,0,0,0,1052440
16,1990,AVILA,69028,0,0,0,0,69028
17,1990,BURGOS,30899,19760,0,0,460000,510659
18,1990,LEON,633174,4593500,0,0,0,5226674
19,1990,PALENCIA,138534,1013650,0,0,0,1152184
20,1990,SALAMANCA,5094180,18200,0,0,0,5112380
21,1990,SEGOVIA,16706,0,0,0,0,16706
22,1990,SORIA,25196,0,0,0,0,25196
23,1990,VALLADOLID,15270,60216,0,0,0,75486
24,1990,ZAMORA,1372320,33600,0,0,0,1405920
25,1990,ALBACETE,38441,0,0,0,0,38441
26,1990,CIUDAD REAL,5292,548000,0,0,0,553292
27,1990,CUENCA,292512,0,0,0,0,292512
28,1990,GUADALAJARA,591808,0,0,0,2402000,2993808
29,1990,TOLEDO,526402,1254208,0,0,0,1780610
30,1990,BARCELONA,95534,2748705,0,0,0,2844239
31,1990,GIRONA,271302,30290,0,0,0,301592
32,1990,LLEIDA,3320102,16000,0,0,0,3336102
33,1990,TARRAGONA,610600,48400,0,0,5684000,6343000
34,1990,CEUTA,0,54240,0,0,0,54240
35,1990,BADAJOZ,158996,3000,0,0,0,161996
36,1990,CACERES,3938466,80,0,0,3722400,7660946
37,1990,LA CORUÑA,582500,4926300,0,0,0,5508800
38,1990,LUGO,945972,0,0,0,0,945972
39,1990,ORENSE,3595296,0,0,0,0,3595296
40,1990,PONTEVEDRA,164276,27782,0,0,0,192058
41,1990,LA RIOJA,59780,0,0,0,0,59780
42,1990,MADRID,138124,5280,0,0,0,143404
43,1990,MELILLA,0,44752,0,0,0,44752
44,1990,MURCIA,75348,1748290,0,0,0,1823638
45,1990,NAVARRA,184506,35860,0,0,0,220366
46,1990,ALAVA,33555,14300,0,0,0,47855
47,1990,GUIPUZCOA,37994,482148,0,0,0,520142
48,1990,VIZCAYA,176774,2054026,0,0,0,2230800
49,1990,ALICANTE,680,0,0,0,0,680
50,1990,CASTELLON,97784,2178692,0,0,0,2276476
51,1990,VALENCIA,2401728,7680,0,0,1987552,4396960
52,1991,ALMERIA,0,655000,0,0,0,655000
53,1991,CADIZ,9280,2967720,0,0,0,2977000
54,1991,CORDOBA,111160,665026,0,0,0,776186
55,1991,GRANADA,153680,18288,0,0,0,171968
56,1991,HUELVA,0,1079260,0,0,0,1079260
57,1991,JAEN,345204,42320,0,0,0,387524
58,1991,MALAGA,963078,237520,0,0,0,1200598
59,1991,SEVILLA,540736,18030,0,0,0,558766
60,1991,HUESCA,2138192,0,0,0,0,2138192
61,1991,TERUEL,47424,2466000,0,0,0,2513424
62,1991,ZARAGOZA,752722,288906,0,0,0,1041628
63,1991,ASTURIAS,1391348,5438950,0,0,0,6830298
64,1991,BALEARES,0,780090,0,0,0,780090
65,1991,LAS PALMAS,0,1368360,0,0,0,1368360
66,1991,S.C.TENERIFE,1600,1008474,0,0,0,1010074
67,1991,CANTABRIA,845840,206488,0,0,0,1052328
68,1991,AVILA,68588,0,0,0,0,68588
69,1991,BURGOS,30191,24340,0,0,460000,514531
70,1991,LEON,718094,4593500,0,0,0,5311594
71,1991,PALENCIA,138224,1020650,0,0,0,1158874
72,1991,SALAMANCA,5092778,18200,0,0,0,5110978
73,1991,SEGOVIA,16706,0,0,0,0,16706
74,1991,SORIA,24596,0,0,0,0,24596
75,1991,VALLADOLID,16112,78316,0,0,0,94428
76,1991,ZAMORA,1372320,33600,0,0,0,1405920
77,1991,ALBACETE,38441,0,0,0,0,38441
78,1991,CIUDAD REAL,5292,548000,0,0,0,553292
79,1991,CUENCA,292462,0,0,0,0,292462
80,1991,GUADALAJARA,591856,0,0,0,2402000,2993856
